"cie10","descripcion"
"X275","Contacto Traumatico Con Otros Animales Venenosos Especificados; Comercio Y Area De Servicios"
"X276","Contacto Traumatico Con Otros Animales Venenosos Especificados; Area Industrial Y De La Construccion"
"X277","Contacto Traumatico Con Otros Animales Venenosos Especificados; Granja"
"X278","Contacto Traumatico Con Otros Animales Venenosos Especificados; Otro Lugar Especificado"
"X279","Contacto Traumatico Con Otros Animales Venenosos Especificados; Lugar No Especificado"
"X280","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Vivienda"
"X281","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Institucion Residencial"
"X282","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Escuelas; Otras Instituciones Y Areas"
"X283","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Areas De Deporte Y Atletismo"
"X284","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Calles Y Carreteras"
"X285","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Comercio Y Area De Servicios"
"X286","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Area Industrial Y De La Construccion"
"X287","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Granja"
"X288","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Otro Lugar Especificado"
"X289","Contacto Traumatico Con Otras Plantas Venenosas Especificadas; Lugar No Especificado"
"X290","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Vivienda"
"X291","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Institucion Residencial"
"X292","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Escuelas; Otras Instituciones"
"X293","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Areas De Deporte Y Atletismo"
"X294","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Calles Y Carreteras"
"X295","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Comercio Y Area De Servicios"
"X296","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Area Industrial Y De La Const"
"X297","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Granja"
"X298","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Otro Lugar Especificado"
"X299","Contacto Traumatico Con Animales Y Plantas Venenosos No Especificados; Lugar No Especificado"
"X300","Exposicion Al Calor Natural Excesivo; Vivienda"
"X301","Exposicion Al Calor Natural Excesivo; Institucion Residencial"
"X302","Exposicion Al Calor Natural Excesivo; Escuelas; Otras Instituciones Y Areas Administrativas  Publica"
"X303","Exposicion Al Calor Natural Excesivo; Areas De Deporte Y Atletismo"
"X304","Exposicion Al Calor Natural Excesivo; Calles Y Carreteras"
"X305","Exposicion Al Calor Natural Excesivo; Comercio Y Area De Servicios"
"X306","Exposicion Al Calor Natural Excesivo; Area Industrial Y De La Construccion"
"X307","Exposicion Al Calor Natural Excesivo; Granja"
"X308","Exposicion Al Calor Natural Excesivo; Otro Lugar Especificado"
"X309","Exposicion Al Calor Natural Excesivo; Lugar No Especificado"
"X310","Exposicion Al Frio Natural Excesivo; Vivienda"
"X311","Exposicion Al Frio Natural Excesivo; Institucion Residencial"
"X312","Exposicion Al Frio Natural Excesivo; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X313","Exposicion Al Frio Natural Excesivo; Areas De Deporte Y Atletismo"
"X314","Exposicion Al Frio Natural Excesivo; Calles Y Carreteras"
"X315","Exposicion Al Frio Natural Excesivo; Comercio Y Area De Servicios"
"X316","Exposicion Al Frio Natural Excesivo; Area Industrial Y De La Construccion"
"X317","Exposicion Al Frio Natural Excesivo; Granja"
"X318","Exposicion Al Frio Natural Excesivo; Otro Lugar Especificado"
"X319","Exposicion Al Frio Natural Excesivo; Lugar No Especificado"
"X320","Exposicion A Rayos Solares; Vivienda"
"X321","Exposicion A Rayos Solares; Institucion Residencial"
"X322","Exposicion A Rayos Solares; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X323","Exposicion A Rayos Solares; Areas De Deporte Y Atletismo"
"X324","Exposicion A Rayos Solares; Calles Y Carreteras"
"X325","Exposicion A Rayos Solares; Comercio Y Area De Servicios"
"X326","Exposicion A Rayos Solares; Area Industrial Y De La Construccion"
"X327","Exposicion A Rayos Solares; Granja"
"X328","Exposicion A Rayos Solares; Otro Lugar Especificado"
"X329","Exposicion A Rayos Solares; Lugar No Especificado"
"X330","Victima De Rayo; Vivienda"
"X331","Victima De Rayo; Institucion Residencial"
"X332","Victima De Rayo; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X333","Victima De Rayo; Areas De Deporte Y Atletismo"
"X334","Victima De Rayo; Calles Y Carreteras"
"X335","Victima De Rayo; Comercio Y Area De Servicios"
"X336","Victima De Rayo; Area Industrial Y De La Construccion"
"X337","Victima De Rayo; Granja"
"X338","Victima De Rayo; Otro Lugar Especificado"
"X339","Victima De Rayo; Lugar No Especificado"
"X340","Victima De Movimientos Cataclismicos De La Tierra Causados Por Terremoto"
"X341","Victima De Tsunami"
"X342","Victima De Terremoto; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X343","Victima De Terremoto; Areas De Deporte Y Atletismo"
"X344","Victima De Terremoto; Calles Y Carreteras"
"X345","Victima De Terremoto; Comercio Y Area De Servicios"
"X346","Victima De Terremoto; Area Industrial Y De La Construccion"
"X347","Victima De Terremoto; Granja"
"X348","Victima De Otros Efectos De Terremoto Especificados /Antes Del 2014 Decia :Victima De Terremoto; Otr"
"X349","Victima De Efectos De Terremoto No Especificados /Antes Del 2014 Decia: Victima De Terremoto; Lugar "
"X350","Victima De Erupcion Volcanica; Vivienda"
"X351","Victima De Erupcion Volcanica; Institucion Residencial"
"X352","Victima De Erupcion Volcanica; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X353","Victima De Erupcion Volcanica; Areas De Deporte Y Atletismo"
"X354","Victima De Erupcion Volcanica; Calles Y Carreteras"
"X355","Victima De Erupcion Volcanica; Comercio Y Area De Servicios"
"X356","Victima De Erupcion Volcanica; Area Industrial Y De La Construccion"
"X357","Victima De Erupcion Volcanica; Granja"
"X358","Victima De Erupcion Volcanica; Otro Lugar Especificado"
"X359","Victima De Erupcion Volcanica; Lugar No Especificado"
"X360","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Vivienda"
"X361","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Institucion Residencial"
"X362","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Escuelas; Otras Instituciones Y Areas "
"X363","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Areas De Deporte Y Atletismo"
"X364","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Calles Y Carreteras"
"X365","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Comercio Y Areas De Servicio"
"X366","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Area Industrial Y De La Construccion"
"X367","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Granja"
"X368","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Otro Lugar  Especificado"
"X369","Victima De Avalancha; Derrumbe Y Otros Movimientos De Tierra; Lugar No Especificado"
"X370","Victima De Tormenta Cataclismica; Vivienda"
"X371","Victima De Tormenta Cataclismica; Institucion Residencial"
"X372","Victima De Tormenta Cataclismica; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X373","Victima De Tormenta Cataclismica; Areas De Deporte Y Atletismo"
"X374","Victima De Tormenta Cataclismica; Calles Y Carreteras"
"X375","Victima De Tormenta Cataclismica; Comercio Y Area De Servicios"
"X376","Victima De Tormenta Cataclismica; Area Industrial Y De La Construccion"
"X377","Victima De Tormenta Cataclismica; Granja"
"X378","Victima De Tormenta Cataclismica; Otro Lugar Especificado"
"X379","Victima De Tormenta Cataclismica; Lugar No Especificado"
"X380","Victima De Inundacion; Vivienda"
"X381","Victima De Inundacion; Institucion Residencial"
"X382","Victima De Inundacion; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X383","Victima De Inundacion; Areas De Deporte Y Atletismo"
"X384","Victima De Inundacion; Calles Y Carreteras"
"X385","Victima De Inundacion; Comercio Y Area De Servicios"
"X386","Victima De Inundacion; Area Industrial Y De La Construccion"
"X387","Victima De Inundacion; Granja"
"X388","Victima De Inundacion; Otro Lugar Especificado"
"X389","Victima De Inundacion; Lugar No Especificado"
"X390","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Vivienda"
"X391","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Institucion Residencial"
"X392","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Escuelas; Otras Instituciones Y"
"X393","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Areas De Deporte Y Atletismo"
"X394","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Calles Y Carreteras"
"X395","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Comercio Y Area De Servicios"
"X396","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Area Industrial Y De La Constru"
"X397","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Granja"
"X398","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Otro Lugar Especificado"
"X399","Exposicion A Otras Fuerzas De La Naturaleza; Y Las No Especificadas; Lugar No Especificado"
"X400","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X401","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X402","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X403","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X404","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X405","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X406","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X407","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X408","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X409","Envenenamiento Accidental Por; Y Exposicion A Analgesicos No Narcoticos; Antipireticos Y Antirreumat"
"X410","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X411","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X412","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X413","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X414","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X415","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X416","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X417","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X418","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X419","Envenenamiento Accidental Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; Hipnoticas; Antipark"
"X420","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X421","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X422","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X423","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X424","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X425","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X426","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X427","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X428","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X429","Envenenamiento Accidental Por; Y Exposicion A Narcoticos Y Psicodislepticos [Alucinogenos]; No Clasi"
"X430","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X431","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X432","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X433","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X434","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X435","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X436","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X437","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X438","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X439","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas Que Actuan Sobre El Sistema Nervioso Auto"
"X440","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X441","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X442","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X443","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X444","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X445","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X446","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X447","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X448","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X449","Envenenamiento Accidental Por; Y Exposicion A Otras Drogas; Medicamentos Y Sustancias Biologicas; Y "
"X450","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Vivienda"
"X451","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Institucion Residencial"
"X452","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Escuelas; Otras Instituciones Y Areas Admini"
"X453","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Areas De Deporte Y Atletismo"
"X454","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Calles Y Carreteras"
"X455","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Comercio Y Area De Servicios"
"X456","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Area Industrial Y De La Construccion"
"X457","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Granja"
"X458","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Otro Lugar Especificado"
"X459","Envenenamiento Accidental Por; Y Exposicion Al Alcohol; Lugar No Especificado"
"X460","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X461","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X462","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X463","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X464","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X465","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X466","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X467","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X468","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X469","Envenenamiento Accidental Por; Y Exposicion A Disolventes Organicos E Hidrocarburos Halogenados Y Su"
"X470","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Vivienda"
"X471","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Institucion Residencial"
"X472","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Escuelas; Otras Instituciones Y"
"X473","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Areas De Deporte Y Atletismo"
"X474","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Calles Y Carreteras"
"X475","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Comercio Y Area De Servicios"
"X476","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Area Industrial Y De La Constru"
"X477","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Granja"
"X478","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Otro Lugar Especificado"
"X479","Envenenamiento Accidental Por; Y Exposicion A Otros Gases Y Vapores; Lugar No Especificado"
"X480","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Vivienda"
"X481","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Institucion Residencial"
"X482","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Escuelas; Otras Instituciones Y Areas Adm"
"X483","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Areas De Deporte Y Atletismo"
"X484","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Calles Y Carreteras"
"X485","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Comercio Y Area De Servicios"
"X486","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Area Industrial Y De La Construccion"
"X487","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Granja"
"X488","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Otro Lugar Especificado"
"X489","Envenenamiento Accidental Por; Y Exposicion A Plaguicidas; Lugar No Especificado"
"X490","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X491","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X492","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X493","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X494","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X495","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X496","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X497","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X498","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X499","Envenenamiento Accidental Por; Y Exposicion A Otros Productos Quimicos Y Sustancias Nocivas; Y Los N"
"X500","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Vivienda"
"X501","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Institucion Residencial"
"X502","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Escuelas; Otras Instituciones Y Areas Ad"
"X503","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Areas De Deporte Y Atletismo"
"X504","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Calles Y Carreteras"
"X505","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Comercio Y Area De Servicios"
"X506","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Area Industrial Y De La Construccion"
"X507","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Granja"
"X508","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Otro Lugar Especificado"
"X509","Exceso De Esfuerzo Y Movimientos Extenuantes Y Repetitivos; Lugar No Especificado"
"X510","Viajes Y Desplazamientos; Vivienda"
"X511","Viajes Y Desplazamientos; Institucion Residencial"
"X512","Viajes Y Desplazamientos; Escuelas; Otras Instituciones Y Areas Administrativas Publicas"
"X513","Viajes Y Desplazamientos; Areas De Deporte Y Atletismo"
"X514","Viajes Y Desplazamientos; Calles Y Carreteras"
"X515","Viajes Y Desplazamientos; Comercio Y Area De Servicios"
"X516","Viajes Y Desplazamientos; Area Industrial Y De La Construccion"
"X517","Viajes Y Desplazamientos; Granja"
"X518","Viajes Y Desplazamientos; Otro Lugar Especificado"
"X519","Viajes Y Desplazamientos; Lugar No Especificado"
"X520","Permanencia Prolongada En Ambiente Sin Gravedad; Vivienda"
"X521","Permanencia Prolongada En Ambiente Sin Gravedad; Institucion Residencial"
"X522","Permanencia Prolongada En Ambiente Sin Gravedad; Escuelas; Otras Instituciones Y Areas Administrativ"
"X523","Permanencia Prolongada En Ambiente Sin Gravedad; Areas De Deporte Y Atletismo"
"X524","Permanencia Prolongada En Ambiente Sin Gravedad; Calles Y Carreteras"
"X525","Permanencia Prolongada En Ambiente Sin Gravedad; Comercio Y Area De Servicios"
"X526","Permanencia Prolongada En Ambiente Sin Gravedad; Area Industrial Y De La Construccion"
"X527","Permanencia Prolongada En Ambiente Sin Gravedad; Granja"
"X528","Permanencia Prolongada En Ambiente Sin Gravedad; Otro Lugar Especificado"
"X529","Permanencia Prolongada En Ambiente Sin Gravedad; Lugar No Especificado"
"X530","Privacion De Alimentos; Vivienda"
"X531","Privacion De Alimentos; Institucion Residencial"
"X532","Privacion De Alimentos; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X533","Privacion De Alimentos; Areas De Deporte Y Atletismo"
"X534","Privacion De Alimentos; Calles Y Carreteras"
"X535","Privacion De Alimentos; Comercio Y Area De Servicios"
"X536","Privacion De Alimentos; Area Industrial Y De La Construccion"
"X537","Privacion De Alimentos; Granja"
"X538","Privacion De Alimentos; Otro Lugar Especificado"
"X539","Privacion De Alimentos; Lugar No Especificado"
"X540","Privacion De Agua; Vivienda"
"X541","Privacion De Agua; Institucion Residencial"
"X542","Privacion De Agua; Escuelas; Otras Instituciones Y Areas Administrativas  Publicas"
"X543","Privacion De Agua; Areas De Deporte Y Atletismo"
"X544","Privacion De Agua; Calles Y Carreteras"
"X545","Privacion De Agua; Comercio Y Area De Servicios"
"X546","Privacion De Agua; Area Industrial Y De La Construccion"
"X547","Privacion De Agua; Granja"
"X548","Privacion De Agua; Otro Lugar Especificado"
"X549","Privacion De Agua; Lugar No Especificado"
"X570","Privacion No Especificada; Vivienda"
"X571","Privacion No Especificada; Institucion Residencial"
"X572","Privacion No Especificada; Escuelas; Otras Instituciones Y Areas Administrativas Publicas"
"X573","Privacion No Especificada; Areas De Deporte Y Atletismo"
"X574","Privacion No Especificada; Calles Y Carreteras"
"X575","Privacion No Especificada; Comercio Y Area De Servicios"
"X576","Privacion No Especificada; Area Industrial Y De La Construccion"
"X577","Privacion No Especificada; Granja"
"X578","Privacion No Especificada; Otro Lugar Especificado"
"X579","Privacion No Especificada; Lugar No Especificado"
"X580","Exposicion A Otros Factores Especificados; Vivienda"
"X581","Exposicion A Otros Factores Especificados; Institucion Residencial"
"X582","Exposicion A Otros Factores Especificados; Escuelas; Otras Instituciones Y Areas Administrativas Pub"
"X583","Exposicion A Otros Factores Especificados; Areas De Deporte Y Atletismo"
"X584","Exposicion A Otros Factores Especificados; Calles Y Carreteras"
"X585","Exposicion A Otros Factores Especificados; Comercio Y Area De Servicios"
"X586","Exposicion A Otros Factores Especificados; Area Industrial Y De La Construccion"
"X587","Exposicion A Otros Factores Especificados; Granja"
"X588","Exposicion A Otros Factores Especificados; Otro Lugar Especificado"
"X589","Exposicion A Otros Factores Especificados; Lugar No Especificado"
"X590","Exposicion A Factores No Especificados; Que Causan Fractura"
"X591","Exposicion A Factores No Especificados; Institucion Residencial"
"X592","Exposicion A Factores No Especificados; Escuelas; Otras Instituciones Y Areas Administrativas  Publi"
"X593","Exposicion A Factores No Especificados; Areas De Deporte Y Atletismo"
"X594","Exposicion A Factores No Especificados; Calles Y Carreteras"
"X595","Exposicion A Factores No Especificados; Comercio Y Area De Servicios"
"X596","Exposicion A Factores No Especificados; Area Industrial Y De La Construccion"
"X597","Exposicion A Factores No Especificados; Granja"
"X598","Exposicion A Factores No Especificados; Otro Lugar Especificado"
"X599","Exposicion A Factores No Especificados Que Causan Otras Lesiones Y Las No Especificadas"
"X600","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X601","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X602","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X603","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X604","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X605","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X606","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X607","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X608","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X609","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Analgesicos No Narcoticos; Antipir"
"X610","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
"X611","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
"X612","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
"X613","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
"X614","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
"X615","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
"X616","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
"X617","Envenenamiento Autoinfligido Intencionalmente Por; Y Exposicion A Drogas Antiepilepticas; Sedantes; "
